"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
21399,254,170,"Brill","45.6026","-91.6718","-06:00",613,"BRIZ"
5772,243,4056,"Nestor","10.517","-61.15","-04:00",,"NEST"
8688,254,139,"Pikeville","37.5072","-82.5159","-05:00",564,"PIKE"
3699,91,1918,"Krefeld","51.333","6.567","+01:00",,"KREF"
4532,181,2953,"Kaduna","10.523","7.44","+01:00",,"KADU"
38232,254,149,"Springfield","41.0576","-96.1628","-06:00",652,"SPRI"
26025,254,138,"Ford","37.6165","-99.7893","-06:00",678,"FORD"
31362,254,162,"Marietta","35.0673","-82.5403","-05:00",567,"MARE"
33588,254,162,"North","33.6281","-81.054","-05:00",546,"NORT"
32132,254,151,"Milan","44.6084","-71.1109","-05:00",500,"MILA"
41102,254,144,"Williamsburg","44.7754","-85.3979","-05:00",540,"WILI"
41910,82,1809,"Le Mans","48","0.2","+01:00",,"LMAN"
15822,43,36,"Edson","53.583","-116.417","-07:00",,"EDSO"
24512,254,163,"Draper","43.9402","-100.479","-06:00",725,"DRAE"
40948,254,132,"White Plains","33.4648","-83.0827","-05:00",524,"WPLA"
19810,254,170,"Ashippun","43.2117","-88.5161","-06:00",617,"ASHI"
7365,254,126,"Pittsburg","38.0121","-121.92","-08:00",807,"PITT"
19779,254,156,"Arthur","47.1081","-97.1969","-06:00",724,"ARTH"
35233,254,136,"Poland","39.4501","-86.975","-05:00",581,"POLA"
25010,254,125,"Edgemont","35.659","-92.1866","-06:00",693,"EDGE"
29264,254,152,"Juliustown","40.0134","-74.6693","-05:00",504,"JULI"
33414,254,125,"Newhope","34.2209","-93.854","-06:00",693,"NEWH"
38553,254,167,"Strasburg","39.0343","-78.3636","-05:00",511,"STRA"
35666,254,144,"Quinnesec","45.8002","-87.9855","-06:00",553,"QUIE"
9552,254,148,"Great Falls","47.4838","-111.29","-07:00",755,"GFAL"
9975,254,152,"South Plainfield","40.5745","-74.4149","-05:00",501,"SPLI"
26385,254,145,"Frontenac","44.4954","-92.3696","-06:00",613,"FRON"
40992,254,139,"Whitesville","37.6489","-86.8935","-06:00",649,"WHIE"
10909,254,164,"Maryville","35.7272","-83.9608","-05:00",557,"MARY"
24670,254,140,"Dupont","30.9294","-91.9479","-06:00",644,"DUPO"
37267,254,125,"Scranton","35.3264","-93.5431","-06:00",670,"SCRA"
28110,254,159,"Hereford","44.6096","-118.03","-08:00",820,"HERE"
21436,254,167,"Broad Run","38.8381","-77.6935","-05:00",511,"BRUN"
10574,254,160,"Coraopolis","40.5042","-80.1934","-05:00",508,"CORA"
36416,254,127,"Roggen","40.249","-104.347","-07:00",751,"ROGG"
3449,43,38,"Brandon","49.833","-99.95","-06:00",,"BRAN"
20973,254,157,"Blue Creek","38.7625","-83.3313","-05:00",515,"BCRE"
29432,254,155,"Kenly","35.6072","-78.1393","-05:00",560,"KENL"
17480,254,144,"Columbiaville","43.1583","-83.387","-05:00",505,"COLU"
24820,254,148,"East Glacier Park","48.7064","-113.592","-07:00",755,"EGPA"
11722,254,171,"Rawlins","41.7532","-107.372","-07:00",751,"RAWL"
17815,254,132,"Grayson","33.8909","-83.9601","-05:00",524,"GRAY"
22600,254,167,"Check","37.0318","-80.2402","-05:00",573,"CHEC"
8410,254,136,"Lawrenceburg","39.1597","-84.8764","-05:00",515,"LAWR"
34216,254,158,"Orlando","36.1339","-97.4439","-06:00",650,"ORLA"
